,Date,Open,High,Low,Close
40,2006-11-28,90.36,91.97,89.91,91.81
41,2006-11-29,93.0,93.15,90.25,91.8
42,2006-11-30,92.215,92.68,91.06,91.66
43,2006-12-01,91.8,92.33,90.1,91.32
44,2006-12-04,91.88,92.05,90.5,91.12
45,2006-12-05,91.655,92.33,90.87,91.27
46,2006-12-06,90.645,91.39,89.67,89.83
47,2006-12-07,90.025,90.5,86.9,87.04
48,2006-12-08,87.23,89.39,87.0,88.26
49,2006-12-11,88.9,89.3,88.05,88.75
50,2006-12-12,88.61,88.84,85.53,86.14
51,2006-12-13,87.95,89.07,87.15,89.05
52,2006-12-14,89.05,90.0,88.26,88.55
53,2006-12-15,89.02,89.22,87.33,87.72
54,2006-12-18,87.625,88.0,84.59,85.47
55,2006-12-19,84.73,86.68,83.62,86.31
56,2006-12-20,86.47,86.67,84.74,84.76
57,2006-12-21,84.6956,85.48,82.2,82.9
58,2006-12-22,83.46,84.0391,81.6,82.2
59,2006-12-26,82.15,82.57,80.89,81.51
60,2006-12-27,78.15,82.0,76.77,81.52
61,2006-12-28,80.22,81.25,79.65,80.87
62,2006-12-29,83.95,85.4,83.36,84.84
63,2007-01-03,86.29,86.58,81.9,83.8
64,2007-01-04,84.05,85.95,83.82,85.66
65,2007-01-05,85.77,86.2,84.4,85.05
66,2007-01-08,85.96,86.53,85.28,85.47
67,2007-01-09,86.45,92.98,85.15,92.57
68,2007-01-10,94.75,97.8,93.45,97.0
69,2007-01-11,95.94,96.78,95.1,95.8
70,2007-01-12,94.59,95.06,93.23,94.62
71,2007-01-16,95.68,97.25,95.45,97.1
72,2007-01-17,97.56,97.6,94.82,94.95
73,2007-01-18,92.1,92.11,89.05,89.07
74,2007-01-19,88.63,89.65,88.12,88.5
75,2007-01-22,89.14,89.16,85.65,86.79
76,2007-01-23,85.73,87.51,85.51,85.7
77,2007-01-24,86.68,87.15,86.08,86.7
78,2007-01-25,87.111,88.5,86.03,86.25
79,2007-01-26,87.115,87.37,84.99,85.38
80,2007-01-29,86.3,86.65,85.53,85.94
81,2007-01-30,86.43,86.49,85.25,85.55
82,2007-01-31,84.86,86.0,84.35,85.73
83,2007-02-01,86.23,86.27,84.74,84.74
84,2007-02-02,84.12,85.25,83.7,84.75
85,2007-02-05,84.3,85.23,83.94,83.94
86,2007-02-06,84.45,84.47,82.86,84.15
87,2007-02-07,84.48,86.38,83.55,86.15
88,2007-02-08,85.43,86.51,85.41,86.18
89,2007-02-09,85.88,86.2,83.21,83.27
90,2007-02-12,84.43,85.18,83.63,84.88
91,2007-02-13,85.16,85.29,84.3,84.7
92,2007-02-14,84.63,85.64,84.57,85.3
93,2007-02-15,85.44,85.62,84.78,85.21
94,2007-02-16,85.25,85.41,84.66,84.83
95,2007-02-20,84.65,86.16,84.16,85.9
96,2007-02-21,85.98,89.49,85.96,89.2
97,2007-02-22,90.8,90.81,88.53,89.51
98,2007-02-23,89.16,90.34,88.85,89.07
99,2007-02-26,89.84,90.0,87.61,88.65
100,2007-02-27,86.3,87.08,83.41,83.93
101,2007-02-28,83.0,85.6,83.0,84.61
102,2007-03-01,84.03,88.31,83.75,87.06
103,2007-03-02,86.77,87.54,85.21,85.41
104,2007-03-05,85.89,88.65,85.76,86.3199
105,2007-03-06,87.8,88.31,87.4,88.19
106,2007-03-07,88.05,88.97,87.45,87.72
107,2007-03-08,88.59,88.72,87.46,88.0
108,2007-03-09,88.8,88.85,87.4,87.97
109,2007-03-12,88.07,89.99,87.99,89.87
110,2007-03-13,89.41,90.6,88.4,88.4
111,2007-03-14,88.6,90.0,87.92,90.0
112,2007-03-15,89.96,90.36,89.31,89.57
113,2007-03-16,89.538,89.99,89.32,89.59
114,2007-03-19,90.24,91.55,89.59,91.13
115,2007-03-20,91.35,91.84,91.06,91.48
116,2007-03-21,91.99,94.0,91.65,93.87
117,2007-03-22,93.73,94.36,93.0,93.96
118,2007-03-23,93.35,94.07,93.3,93.52
119,2007-03-26,93.99,95.9,93.3,95.85
120,2007-03-27,95.71,96.83,95.0,95.46
121,2007-03-28,94.88,95.4,93.15,93.24
