,Date,Open,Low,High,Close,S/L
100,2007-02-27,86.3,83.41,87.08,83.93,Stoploss
101,2007-02-28,83.0,83.0,85.6,84.61,Stoploss
102,2007-03-01,84.03,83.75,88.31,87.06,Stoploss
103,2007-03-02,86.77,85.21,87.54,85.41,Stoploss
104,2007-03-05,85.89,85.76,88.65,86.3199,Stoploss
105,2007-03-06,87.8,87.4,88.31,88.19,Stoploss
106,2007-03-07,88.05,87.45,88.97,87.72,Stoploss
107,2007-03-08,88.59,87.46,88.72,88.0,Stoploss
108,2007-03-09,88.8,87.4,88.85,87.97,Stoploss
109,2007-03-12,88.07,87.99,89.99,89.87,Stoploss
110,2007-03-13,89.41,88.4,90.6,88.4,Stoploss
111,2007-03-14,88.6,87.92,90.0,90.0,Stoploss
112,2007-03-15,89.96,89.31,90.36,89.57,Stoploss
113,2007-03-16,89.538,89.32,89.99,89.59,Stoploss
114,2007-03-19,90.24,89.59,91.55,91.13,Stoploss
115,2007-03-20,91.35,91.06,91.84,91.48,Stoploss
116,2007-03-21,91.99,91.65,94.0,93.87,Stoploss
117,2007-03-22,93.73,93.0,94.36,93.96,Stoploss
118,2007-03-23,93.35,93.3,94.07,93.52,Stoploss
119,2007-03-26,93.99,93.3,95.9,95.85,Null
120,2007-03-27,95.71,95.0,96.83,95.46,Null
121,2007-03-28,94.88,93.15,95.4,93.24,Stoploss
122,2007-03-29,94.19,92.23,94.19,93.75,Stoploss
123,2007-03-30,94.28,92.75,94.68,92.91,Stoploss
124,2007-04-02,94.14,93.02,94.25,93.65,Stoploss
125,2007-04-03,94.14,93.76,95.23,94.5,Stoploss
126,2007-04-04,94.94,94.13,95.14,94.27,Stoploss
127,2007-04-05,94.12,93.52,94.68,94.68,Stoploss
128,2007-04-09,95.21,93.04,95.3,93.65,Stoploss
129,2007-04-10,93.67,93.41,94.258,94.25,Stoploss
130,2007-04-11,93.9,92.33,93.95,92.59,Stoploss
131,2007-04-12,92.04,90.72,92.31,92.19,Stoploss
132,2007-04-13,90.9,90.0599,91.4001,90.24,Stoploss
133,2007-04-16,90.57,90.25,91.5,91.43,Stoploss
134,2007-04-17,92.0,89.7,92.3,90.35,Stoploss
135,2007-04-18,90.16,89.6,90.85,90.4,Stoploss
136,2007-04-19,90.19,89.83,91.25,90.27,Stoploss
137,2007-04-20,90.889,90.55,91.18,90.97,Stoploss
138,2007-04-23,91.585,91.42,93.8,93.51,Stoploss
139,2007-04-24,93.96,91.3,96.39,93.24,Stoploss
140,2007-04-25,94.23,93.8,95.4,95.348,Null
141,2007-04-26,101.58,98.3,102.5,98.84,Null
142,2007-04-27,98.18,97.69,99.95,99.92,Null
143,2007-04-30,100.09,99.67,101.0,99.8,Null
144,2007-05-01,99.59,98.55,100.35,99.47,Null
145,2007-05-02,99.65,99.47,100.54,100.39,Null
146,2007-05-03,100.73,100.01,101.45,100.4,Null
147,2007-05-04,100.8,100.5,101.6,100.81,Null
148,2007-05-07,101.08,101.01,104.35,103.92,Null
149,2007-05-08,103.47,103.42,105.15,105.06,Null
150,2007-05-09,104.91,104.89,106.96,106.88,Null
151,2007-05-10,106.63,105.92,108.84,107.34,Null
152,2007-05-11,107.74,106.78,109.13,108.74,Null
153,2007-05-14,109.62,108.25,110.0,109.36,Null
154,2007-05-15,109.57,106.48,110.2,107.52,Null
155,2007-05-16,108.53,103.42,108.83,107.34,Stoploss
156,2007-05-17,107.15,107.15,109.87,109.44,Null
157,2007-05-18,110.23,109.77,110.64,110.02,Null
158,2007-05-21,110.31,110.05,112.45,111.98,Null
159,2007-05-22,112.49,112.01,113.75,113.54,Null
160,2007-05-23,114.02,112.59,115.0,112.89,Null
161,2007-05-24,112.81,110.37,114.46,110.69,Stoploss
162,2007-05-25,112.0,111.5,113.78,113.62,Null
163,2007-05-29,114.45,112.69,114.86,114.35,Null
164,2007-05-30,114.3,113.53,118.88,118.77,Null
165,2007-05-31,120.07,119.541,122.17,121.191,Null
166,2007-06-01,121.1,118.29,121.19,118.4,Stoploss
167,2007-06-04,118.63,117.9,121.73,121.33,Null
168,2007-06-05,121.41,120.5,122.69,122.67,Null
169,2007-06-06,122.3,121.95,124.05,123.64,Null
170,2007-06-07,124.99,123.19,127.61,124.069,Null
171,2007-06-08,125.825,122.29,125.83,124.49,Null
172,2007-06-11,126.0,119.54,126.15,120.19,Stoploss
173,2007-06-12,119.35,118.31,121.71,120.38,Stoploss
174,2007-06-13,121.15,115.4,121.19,117.5,Stoploss
175,2007-06-14,117.2,116.42,119.45,118.75,Stoploss
176,2007-06-15,120.62,119.86,120.67,120.5,Stoploss
177,2007-06-18,123.28,122.54,125.18,125.09,Null
178,2007-06-19,124.69,122.91,125.01,123.66,Null
179,2007-06-20,123.87,121.5,124.66,121.55,Stoploss
180,2007-06-21,121.7,120.72,124.29,123.9,Null
181,2007-06-22,123.85,122.38,124.45,123.0,Stoploss
182,2007-06-25,124.19,121.06,125.09,122.34,Stoploss
183,2007-06-26,123.98,118.72,124.0,119.65,Stoploss
184,2007-06-27,120.61,119.26,122.04,121.89,Stoploss
185,2007-06-28,122.36,120.0,122.49,120.56,Stoploss
186,2007-06-29,121.97,121.09,124.0,122.04,Stoploss
187,2007-07-02,121.05,119.3,122.09,121.26,Stoploss
188,2007-07-03,122.0,121.5,127.4,127.17,Null
189,2007-07-05,128.8,128.69,132.97,132.75,Null
190,2007-07-06,133.13,130.4,133.34,132.3,Null
191,2007-07-09,132.38,129.18,132.9,130.3301,Stoploss
192,2007-07-10,128.88,128.81,134.5,132.35,Null
193,2007-07-11,132.07,131.31,133.7,132.39,Null
194,2007-07-12,133.85,132.39,134.24,134.0699,Null
195,2007-07-13,135.03,134.52,137.85,137.73,Null
196,2007-07-16,138.39,137.5,139.98,138.1,Null
197,2007-07-17,138.3,137.5,139.6,138.9099,Null
198,2007-07-18,138.19,136.04,138.44,138.12,Null
199,2007-07-19,140.3,139.65,140.81,140.0,Null
200,2007-07-20,141.65,140.0,144.18,143.75,Null
201,2007-07-23,143.31,140.93,145.22,143.7,Null
202,2007-07-24,138.88,134.15,141.0,134.8899,Stoploss
203,2007-07-25,137.35,135.0,138.36,137.26,Stoploss
