Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,8410.599609375,8288.7001953125,8288.7001953125,8395.4501953125,101900.0,8395.4501953125
2015-01-05,8445.599609375,8363.900390625,8407.9501953125,8378.400390625,118200.0,8378.400390625
2015-01-06,8327.849609375,8111.35009765625,8325.2998046875,8127.35009765625,172800.0,8127.35009765625
2015-01-07,8151.2001953125,8065.4501953125,8118.64990234375,8102.10009765625,164100.0,8102.10009765625
2015-01-08,8243.5,8167.2998046875,8191.39990234375,8234.599609375,143800.0,8234.599609375
2015-01-09,8303.2998046875,8190.7998046875,8285.4501953125,8284.5,148000.0,8284.5
2015-01-12,8332.599609375,8245.599609375,8291.349609375,8323.0,103200.0,8323.0
2015-01-13,8356.650390625,8267.900390625,8346.150390625,8299.400390625,129600.0,8299.400390625
2015-01-14,8326.4501953125,8236.650390625,8307.25,8277.5498046875,146100.0,8277.5498046875
2015-01-15,8527.099609375,8380.5498046875,8424.5,8494.150390625,232100.0,8494.150390625
2015-01-16,8530.75,8452.25,8504.0498046875,8513.7998046875,176000.0,8513.7998046875
2015-01-19,8570.9501953125,8531.5,8550.0498046875,8550.7001953125,125400.0,8550.7001953125
2015-01-20,8707.900390625,8574.5,8575.099609375,8695.599609375,158700.0,8695.599609375
2015-01-21,8741.849609375,8689.599609375,8719.650390625,8729.5,185900.0,8729.5
2015-01-22,8774.150390625,8727.0,8745.849609375,8761.400390625,175500.0,8761.400390625
2015-01-23,8866.400390625,8795.400390625,8827.9501953125,8835.599609375,191200.0,8835.599609375
2015-01-27,8925.0498046875,8825.4501953125,8871.349609375,8910.5,192000.0,8910.5
2015-01-28,8985.0498046875,8874.0498046875,8902.75,8914.2998046875,185100.0,8914.2998046875
2015-01-29,8966.650390625,8861.25,8901.5,8952.349609375,256300.0,8952.349609375
2015-01-30,8996.599609375,8775.099609375,8996.599609375,8808.900390625,267300.0,8808.900390625
2015-02-02,8840.7998046875,8751.099609375,8802.5,8797.400390625,210100.0,8797.400390625
2015-02-03,8837.2998046875,8726.650390625,8823.150390625,8756.5498046875,208700.0,8756.5498046875
2015-02-04,8792.849609375,8704.400390625,8789.150390625,8723.7001953125,195300.0,8723.7001953125
2015-02-05,8838.4501953125,8683.650390625,8733.099609375,8711.7001953125,173600.0,8711.7001953125
2015-02-06,8726.2001953125,8645.5498046875,8696.849609375,8661.0498046875,171300.0,8661.0498046875
2015-02-09,8605.5498046875,8516.349609375,8584.400390625,8526.349609375,146800.0,8526.349609375
