,Date,Actual,Predicted
0,20090128,94.2,207.35222411435097
1,20090129,93.0,207.43477948709915
2,20110125,341.4,320.5553149220941
3,20110126,343.85,320.72933235349774
4,20070627,121.89,96.95699113732553
5,20070628,120.56,96.95035305072088
6,20091222,200.36,213.54536215224653
7,20091223,202.1,213.63292125014414
8,20110603,343.44,323.2666932093125
9,20110606,338.04,323.44402561451716
10,20110923,404.3,325.0782143904071
11,20110926,403.17,325.25701040808053
12,20100614,254.28,266.71350881755643
13,20100615,259.69,266.8440249417763
14,20081103,106.96,156.26166580361314
15,20081104,110.99,156.30294273061736
16,20080131,135.36,150.94610925787129
17,20080201,133.75,151.02188070306147
18,20070315,89.57,95.19075798575068
19,20070316,89.59,95.1826928769733
20,20070718,138.12,97.47214247321244
21,20070719,140.0,97.46592060140392
22,20110803,392.57,324.3934754245565
23,20110804,377.37,324.57059388491325
24,20061113,84.35,43.09820202173432
25,20061114,85.0,43.04804890653759
26,20091030,188.5,212.65080700838007
27,20091102,189.31,212.77755688254547
28,20091016,188.05,212.3846139148518
29,20091019,189.86,212.472359514868
30,20101111,316.655,269.52702765195863
31,20101112,308.03,269.6598169492936
32,20090416,121.45,208.9825931773521
33,20090417,123.42,209.066465801312
34,20090608,143.85,210.06950588600012
35,20090609,142.72,210.1542566774733
36,20081204,91.41,156.83342717640335
37,20081205,94.0,156.87516605608107
38,20070615,120.5,96.89447761599149
39,20070618,125.09,96.88891334655636
40,20090828,170.05,211.32034522097092
41,20090831,168.21,211.40723094863642
42,20110929,390.57,325.10676188960497
43,20110930,381.32,325.28445664737956
44,20061212,86.14,43.65864138712641
45,20061213,89.05,43.60894107706554
46,20070411,92.59,95.73421434007469
47,20070412,92.19,95.72658831505396
48,20100226,204.62,264.7175247346895
49,20100301,208.99,264.8880282264872
50,20101006,289.19,268.9326222644013
51,20101007,289.22,269.06493131390016
52,20090527,133.05,209.6109645870456
53,20090528,135.07,209.69534490160004
54,20070507,103.92,96.27767069441325
55,20070508,105.06,96.27048375313461
56,20071031,189.95,99.43097567031509
57,20071101,187.44,99.4651256355719
58,20100719,245.58,267.3079142050992
59,20100720,251.89,267.43891057716974
60,20070305,86.3199,95.13414794884739
61,20070306,88.19,95.12603710217809
62,20090918,185.02,211.82983555315877
63,20090921,184.02,211.91713292183704
64,20110615,326.75,323.32920673064655
65,20110616,325.16,323.5054653186817
66,20110527,337.41,322.8391661902715
67,20110531,347.83,323.016715338832
68,20110921,412.14,325.0614738600707
69,20110922,401.82,325.23913202753465
70,20071217,184.4,100.29698331499822
71,20071218,182.98,100.29304376388609
72,20110831,384.83,324.7389225697261
73,20110901,381.03,324.9551093373011
74,20111221,396.445,326.7597749673587
75,20111222,398.55,326.93880527152214
76,20090914,173.72,211.8017730154388
77,20090915,175.16,211.88792338634084
78,20070706,132.3,97.40962895186385
79,20070709,130.3301,97.40448089722486
80,20070409,93.65,95.72289233270567
81,20070410,94.25,95.7152571600891
82,20070917,138.41,98.59868220769567
83,20070918,140.92,98.5933705198986
84,20070807,135.0301,97.97597180170123
85,20070808,134.01,97.9701569971221
86,20100802,261.85,267.77777751145186
87,20100803,261.93,267.9091535080079
88,20090107,91.01,207.23334303684533
89,20090108,92.7,207.31580235999718
90,20111027,404.69,325.66154025131254
91,20111028,404.95,325.8396832404105
92,20090610,140.25,210.08082789338368
93,20090611,139.95,210.16558783243818
94,20101206,320.15,270.06482300259813
95,20101207,318.21,270.1980468098918
96,20080422,160.2,152.40652229008265
97,20080423,162.89,152.4446844667691
98,20110301,349.31,321.5516515717027
99,20110302,352.12,321.72647398996924
100,20071219,183.12,100.30830532236723
101,20071220,187.21,100.30437491885095
102,20071123,171.54,99.77026749099605
103,20071126,172.5419,99.76702670636587
104,20080610,185.64,153.47079098399263
105,20080611,180.81,153.50981303298613
106,20110331,348.5075,321.9084207242704
107,20110401,344.56,322.1223205973365
108,20100514,253.82,266.15282697140356
109,20100517,254.22,266.2840144193615
110,20081231,85.35,181.01742356768227
111,20090102,90.75,186.06508215250506
112,20110225,348.16,321.1268338141381
113,20110228,353.21,321.30243732708914
114,20071127,174.81,99.78749298279581
115,20071128,180.22,99.78314179070003
116,20090723,157.82,210.72052131046075
117,20090724,159.986,210.80579808766197
118,20110106,333.73,320.4477558519575
119,20110107,336.12,320.62168638138974
120,20081212,98.27,156.88413372889045
121,20081215,94.75,156.92703790152154
122,20090630,142.43,210.38369627052452
123,20090701,142.83,210.50805227777164
124,20080626,168.26,153.56136704303208
125,20080627,170.09,153.60046227267594
126,20070319,91.13,95.21340200051782
127,20070320,91.48,95.20535518690303
128,20080430,173.95,152.64145862293663
129,20080501,180.0,152.71916198234248
130,20081216,95.43,156.90135922070476
131,20081217,89.16,156.94315298584115
132,20080908,157.92,155.15777008389705
133,20080909,151.68,155.19815512200876
134,20070227,83.93,94.69258966096095
135,20070228,84.61,94.68412205875211
136,20071205,185.5,100.2290512706968
137,20071206,189.9528,100.22505683412601
138,20090126,89.64,207.34090210698196
139,20090127,90.73,207.42344833213429
140,20100330,235.845,265.105783769337
141,20100331,235.0,265.23500093746406
142,20111005,378.25,325.53699817010784
143,20111006,377.37,325.7150405358552
144,20090928,186.1519,211.88102706710924
145,20090929,185.38,211.9672414710367
146,20101229,325.29,270.19502608748735
147,20101230,323.66,270.32835509192955
148,20100205,195.46,264.40357683091133
149,20100208,194.12,264.5333509780612
150,20070611,120.19,96.86641507828608
151,20070612,120.38,96.85970381104562
152,20080318,132.82,151.81777790622436
153,20080319,129.67,151.85546440884355
